,Word,Document Frequency
0,say,7
1,also,7
2,make,5
3,could,5
4,know,5
5,use,5
6,still,4
7,like,4
8,even,4
9,many,4
10,show,4
11,need,4
12,new,4
13,find,4
14,go,4
15,two,3
16,year,3
17,might,3
18,’,3
19,learn,3
20,first,3
21,”,3
22,tell,3
23,lead,3
24,data,3
25,people,3
26,include,3
27,“,3
28,researchers,3
29,one,3
30,leave,3
31,report,3
32,around,2
33,impact,2
34,damage,2
35,prof,2
36,turn,2
37,freshwater,2
38,rivers,2
39,millions,2
40,yet,2
41,supply,2
42,appear,2
43,machinelearning,2
44,increase,2
45,identify,2
46,often,2
47,easy,2
48,special,2
49,race,2
50,limit,2
51,another,2
52,generate,2
53,require,2
54,far,2
55,scientists,2
56,bbc,2
57,team,2
58,cost,2
59,world,2
60,sport,2
61,move,2
62,highlight,2
63,much,2
64,name,2
65,water,2
66,black,2
67,outside,2
68,transform,2
69,develop,2
70,right,2
71,behave,2
72,run,2
73,come,2
74,machine,2
75,visual,2
76,power,2
77,type,2
78,suggest,2
79,give,2
80,mean,2
81,human,2
82,representations,2
83,mit,2
84,carbon,2
85,children,2
86,way,2
87,school,2
88,better,2
89,speed,2
90,pretty,2
91,crisis,2
92,major,2
93,service,2
94,light,2
95,model,2
96,research,2
97,former,2
98,see,2
99,significant,2
100,cars,2
101,restrictions,2
102,hundreds,2
103,science,2
104,rapidly,2
105,help,2
106,certain,2
107,vision,2
108,lakes,2
109,image,2
110,result,2
111,last,1
112,standards,1
113,responsibility,1
114,become,1
115,position,1
116,rule,1
117,ethics,1
118,matter,1
119,fia,1
120,season,1
121,director,1
122,fight,1
123,away,1
124,inside,1
125,michael,1
126,return,1
127,part,1
128,try,1
129,take,1
130,tactics,1
131,penalties,1
132,aggressive,1
133,change,1
134,likely,1
135,mistake,1
136,series,1
137,gain,1
138,advantage,1
139,manoeuvre,1
140,personally,1
141,especially,1
142,lay,1
143,manner,1
144,lessons,1
145,issue,1
146,guidelines,1
147,intervene,1
148,formula,1
149,body,1
150,govern,1
151,beyond,1
152,drive,1
153,throughout,1
154,overtake,1
155,postdoc,1
156,max,1
157,surf,1
158,wing,1
159,ft,1
160,push,1
161,rid,1
162,wave,1
163,foilboard,1
164,long,1
165,electricpowered,1
166,user,1
167,almost,1
168,professional,1
169,underwater,1
170,surfers,1
171,rider,1
172,technology,1
173,stand,1
174,million,1
175,flat,1
176,reduction,1
177,severe,1
178,safer,1
179,hawaiian,1
180,coast,1
181,island,1
182,propellers,1
183,kiana,1
184,air,1
185,build,1
186,sea,1
187,downwards,1
188,underside,1
189,foilboards,1
190,surfer,1
191,seas,1
192,ways,1
193,must,1
194,hydrofoil,1
195,extra,1
196,rod,1
197,fly,1
198,context,1
199,masi,1
200,onus,1
201,carbonfibre,1
202,track,1
203,publish,1
204,verstappens,1
205,outline,1
206,shift,1
207,drivers,1
208,fores,1
209,extend,1
210,oahu,1
211,fibre,1
212,industry,1
213,bigger,1
214,lift,1
215,mast,1
216,increasingly,1
217,surfboard,1
218,momentum,1
219,masts,1
220,big,1
221,smoothly,1
222,thats,1
223,sufficient,1
224,record,1
225,thrill,1
226,business,1
227,char,1
228,remain,1
229,adequate,1
230,arm,1
231,life,1
232,drink,1
233,executive,1
234,debunk,1
235,chief,1
236,hygiene,1
237,replenish,1
238,newly,1
239,continent,1
240,rock,1
241,agriculture,1
242,poorly,1
243,charity,1
244,danger,1
245,reserve,1
246,unique,1
247,eel,1
248,region,1
249,manager,1
250,patricio,1
251,conservation,1
252,insects,1
253,blind,1
254,discovery,1
255,organisation,1
256,fascinate,1
257,celebrate,1
258,level,1
259,wetlands,1
260,unexpected,1
261,ground,1
262,plant,1
263,single,1
264,programme,1
265,discover,1
266,vast,1
267,safe,1
268,rugged,1
269,access,1
270,–,1
271,manage,1
272,africa,1
273,surface,1
274,enough,1
275,investment,1
276,untapped,1
277,study,1
278,deplete,1
279,subsaharan,1
280,wateraid,1
281,earth,1
282,abundant,1
283,clean,1
284,myth,1
285,chronically,1
286,tim,1
287,unsustainably,1
288,aquifers,1
289,liquid,1
290,underground,1
291,behind,1
292,resources,1
293,resource,1
294,feet,1
295,provide,1
296,pollute,1
297,uk,1
298,every,1
299,wainwright,1
300,rainfall,1
301,tragedy,1
302,lack,1
303,groundwater,1
304,soil,1
305,irrigation,1
306,system,1
307,organisms,1
308,hide,1
309,professor,1
310,number,1
311,recover,1
312,hop,1
313,authorities,1
314,wednesday,1
315,sign,1
316,search,1
317,flood,1
318,nearvertical,1
319,jet,1
320,heavy,1
321,suddenly,1
322,intact,1
323,efforts,1
324,recorder,1
325,rescuers,1
326,dive,1
327,investigators,1
328,fish,1
329,personal,1
330,cockpit,1
331,eastern,1
332,clue,1
333,landscape,1
334,declare,1
335,rain,1
336,week,1
337,volunteer,1
338,beijing,1
339,wuzhou,1
340,steep,1
341,recovery,1
342,board,1
343,victims,1
344,southern,1
345,difficult,1
346,analyse,1
347,plane,1
348,debris,1
349,describe,1
350,send,1
351,internal,1
352,undervalue,1
353,traits,1
354,species,1
355,shoal,1
356,weapons,1
357,wolverine,1
358,plunge,1
359,remarkable,1
360,really,1
361,vertebrates,1
362,release,1
363,plenty,1
364,diverse,1
365,harmony,1
366,box,1
367,china,1
368,harder,1
369,yield,1
370,survive,1
371,mountains,1
372,fine,1
373,crash,1
374,site,1
375,scatter,1
376,media,1
377,belong,1
378,circumstances,1
379,officials,1
380,crucial,1
381,voice,1
382,state,1
383,monday,1
384,enter,1
385,pandemic,1
386,educational,1
387,difficulties,1
388,challenge,1
389,address,1
390,edit,1
391,photos,1
392,performance,1
393,synthetic,1
394,train,1
395,real,1
396,datasets,1
397,extremely,1
398,privacy,1
399,negatively,1
400,gender,1
401,bias,1
402,classification,1
403,cut,1
404,however,1
405,may,1
406,outperform,1
407,always,1
408,contrastive,1
409,sidestep,1
410,potential,1
411,contain,1
412,downstream,1
413,problems,1
414,distribute,1
415,memory,1
416,natural,1
417,less,1
418,representation,1
419,follow,1
420,generative,1
421,dataset,1
422,pm,1
423,others,1
424,employ,1
425,urgent,1
426,room,1
427,government,1
428,gas,1
429,poor,1
430,fewer,1
431,bath,1
432,farm,1
433,quick,1
434,resist,1
435,trip,1
436,door,1
437,friend,1
438,foundation,1
439,accelerate,1
440,everyone,1
441,public,1
442,emissions,1
443,oil,1
444,boilers,1
445,want,1
446,replace,1
447,accept,1
448,hob,1
449,degree,1
450,thermostat,1
451,libertarian,1
452,difference,1
453,slogans,1
454,would,1
455,british,1
456,sale,1
457,smoothlytrains,1
458,youre,1
459,task,1
460,remove,1
461,disaster,1
462,present,1
463,senior,1
464,form,1
465,wellunderstood,1
466,arturo,1
467,process,1
468,author,1
469,computervision,1
470,textural,1
471,enable,1
472,think,1
473,focus,1
474,seem,1
475,similar,1
476,overcome,1
477,brain,1
478,adversarially,1
479,goals,1
480,center,1
481,engineer,1
482,electrical,1
483,involve,1
484,department,1
485,peripheral,1
486,robust,1
487,computer,1
488,useful,1
489,bits,1
490,elements,1
491,harrington,1
492,anne,1
493,automatically,1
494,perceive,1
495,shed,1
496,student,1
497,design,1
498,periphery,1
499,realistic,1
500,place,1
501,traditional,1
502,exist,1
503,concern,1
504,best,1
505,rival,1
506,satellite,1
507,usable,1
508,attribute,1
509,usage,1
510,perform,1
511,store,1
512,share,1
513,able,1
514,amount,1
515,rather,1
516,mind,1
517,subtle,1
518,work,1
519,ok,1
520,graduate,1
521,humans,1
522,manipulations,1
523,similarly,1
524,deza,1
525,circumvent,1
526,maybe,1
527,noise,1
528,little,1
529,method,1
530,huge,1
531,dollars,1
532,tackle,1
533,reduce,1
534,activities,1
535,accord,1
536,mathematical,1
537,hole,1
538,solve,1
539,paradoxes,1
540,important,1
541,wheeler,1
542,news,1
543,quantum,1
544,gravity,1
545,put,1
546,dead,1
547,health,1
548,commissioner,1
549,add,1
550,teach,1
551,general,1
552,strong,1
553,constituents,1
554,collapse,1
555,theorem,1
556,biggest,1
557,problem,1
558,odds,1
559,sussex,1
560,princeton,1
561,techniques,1
562,john,1
563,information,1
564,jersey,1
565,hawk,1
566,call,1
567,hair,1
568,xavier,1
569,behavioural,1
570,northern,1
571,case,1
572,members,1
573,group,1
574,previous,1
575,education,1
576,mental,1
577,attention,1
578,time,1
579,champion,1
580,heavily,1
581,speak,1
582,irelands,1
583,age,1
584,assembly,1
585,seek,1
586,hospital,1
587,mlas,1
588,koulla,1
589,rise,1
590,ill,1
591,young,1
592,yiasouma,1
593,whole,1
594,brief,1
595,facetoface,1
596,covid,1
597,symptoms,1
598,nis,1
599,oneill,1
600,siobhan,1
601,emotional,1
602,longlasting,1
603,stormonts,1
604,effect,1
605,committee,1
606,resolve,1
607,stephen,1
608,fundamental,1
609,einsteins,1
610,electricity,1
611,campaign,1
612,installations,1
613,energy,1
614,immediately,1
615,excluder,1
616,agency,1
617,insulation,1
618,small,1
619,international,1
620,basic,1
621,persuade,1
622,urge,1
623,wind,1
624,comfortable,1
625,top,1
626,draught,1
627,mph,1
628,rac,1
629,demand,1
630,installers,1
631,efficient,1
632,heat,1
633,set,1
634,cheeky,1
635,electric,1
636,empty,1
637,sausage,1
638,chain,1
639,phase,1
640,pump,1
641,prevent,1
642,hit,1
643,save,1
644,home,1
645,brake,1
646,star,1
647,heart,1
648,exclusively,1
649,idea,1
650,paradox,1
651,theory,1
652,university,1
653,crack,1
654,escape,1
655,earlier,1
656,field,1
657,theories,1
658,gravitational,1
659,property,1
660,imprint,1
661,satisfaction,1
662,archibald,1
663,import,1
664,claim,1
665,analysts,1
666,effective,1
667,nobrainer,1
668,draughtproofing,1
669,impossible,1
670,threaten,1
671,physics,1
672,undermine,1
673,calmet,1
674,among,1
675,colleagues,1
676,relativity,1
677,mechanics,1
678,supersede,1
679,underfunded,1
